kf_mgkg,frequency_thz,eps_real
84,1.3599999999999999,1.2440346894365093
84,1.365,1.2488245356558485
84,1.37,1.2435515218796467
84,1.375,1.243389912159526
84,1.38,1.2494093152298775
84,1.385,1.247864968551219
84,1.3900000000000001,1.2427709211743683
84,1.395,1.2403364736337874
84,1.4,1.2419472142700188
84,1.405,1.2453752329943728
84,1.4100000000000001,1.2434873617992643
84,1.415,1.2408766411767318
84,1.42,1.2441772981850017
84,1.425,1.2458850707759581
84,1.4300000000000002,1.2393458639002106
84,1.435,1.2415806407914183
84,1.44,1.2394415161667012
84,1.445,1.2437812791876681
84,1.4500000000000002,1.2410055388491827
84,1.455,1.2387651630382126
84,1.46,1.23595688541612
84,1.4649999999999999,1.2414110176816775
84,1.47,1.2386475507862875
84,1.475,1.2393484343265095
84,1.48,1.2382258559543273
84,1.4849999999999999,1.23934762012801
84,1.49,1.2337277425499247
84,1.495,1.2356735642743353
84,1.5,1.238205792574328
84,1.5050000000000001,1.2415380744603495
84,1.51,1.2375321156055759
84,1.5150000000000001,1.236255231318585
84,1.52,1.2345513817468483
84,1.525,1.2341771043910277
84,1.53,1.2349972372885505
84,1.535,1.2332940404880801
84,1.54,1.235275135539981
84,1.545,1.2347173352040728
84,1.55,1.2393476630523468
84,1.555,1.2339230174118796
84,1.56,1.2366312541044888
84,1.565,1.2325930968465797
84,1.57,1.2357485962818016
84,1.575,1.2391900889524778
84,1.58,1.2315052864480678
84,1.585,1.229832011303792
84,1.59,1.2351101921294958
84,1.595,1.2324023976512308
84,1.6,1.2314097915251982
84,1.605,1.2329532161718604
84,1.61,1.232372494206851
84,1.615,1.2345318277584123
84,1.62,1.2323163119435554
84,1.625,1.229692075975113
84,1.6300000000000001,1.2281887847116852
84,1.635,1.2264973726075703
84,1.6400000000000001,1.2279402645095943
84,1.645,1.2331987739098622
84,1.6500000000000001,1.2267539319494674
84,1.655,1.2303104059211731
84,1.66,1.2330862998103225
84,1.665,1.2313792521725564
84,1.67,1.23359641413153
84,1.675,1.2315273317023043
84,1.68,1.233478262334047
84,1.685,1.2280839293420347
84,1.69,1.2273693179384215
84,1.695,1.23418339252691
84,1.7,1.2301261438459525
84,1.705,1.2294283508594728
84,1.71,1.2277430206180908
84,1.715,1.2330634838924373
84,1.72,1.2302552425088396
84,1.725,1.2302523178485805
84,1.73,1.227385193207286
84,1.735,1.229170641445632
84,1.74,1.2278857299687271
84,1.745,1.2286834975455734
84,1.75,1.229723666536518
84,1.7550000000000001,1.2276635855949714
84,1.76,1.2268489757665666
84,1.7650000000000001,1.2309003176380764
84,1.77,1.2264516354937076
84,1.7750000000000001,1.2324528227718239
84,1.78,1.232821258729598
84,1.785,1.225611190454558
84,1.79,1.2330970268852965
84,1.795,1.2271132885905291
84,1.8,1.2324589593602462
84,1.805,1.2278311384450737
84,1.81,1.231222153461965
84,1.815,1.2267989986668706
84,1.82,1.2310466285521335
84,1.825,1.229744545386146
84,1.83,1.2335545862251474
84,1.835,1.2315848689761932
84,1.84,1.2275875040284479
84,1.845,1.2306852472822576
84,1.85,1.2283215581568745
84,1.855,1.2305523787278851
84,1.86,1.234016006740421
84,1.865,1.2342044268422114
84,1.87,1.2308292648965056
84,1.875,1.228516261201172
84,1.8800000000000001,1.2308376666402558
84,1.885,1.2359235327008793
84,1.8900000000000001,1.230555428887544
84,1.895,1.2273863692067513
84,1.9000000000000001,1.2276806434376757
84,1.905,1.2282771471082805
84,1.91,1.234038851990922
84,1.915,1.2306324730789553
84,1.92,1.2297528286973898
84,1.925,1.232596892408845
84,1.93,1.2342407203846824
84,1.935,1.2315923425749769
84,1.94,1.2300975374513061
